lemma,arg_none,arg_nom,arg_acc,arg_dat,arg_gen,arg_fused_rel,postpos,direction,pros
e)n,n,n,y,y,n,y,n,n,n
dia/,n,n,y,n,y,n,n,n,n
a)po/,n,n,n,n,y,n,n,n,n
e)nw/pion,n,n,n,n,y,n,n,n,n
e)k,n,n,n,n,y,n,n,n,n
ei)s,n,n,y,n,n,n,n,y,n
meta/,n,n,y,n,y,n,n,n,n
e)pi/,n,n,y,y,y,n,n,n,n
o)pi/sw,n,n,n,n,y,n,n,y,n
pro/s,n,n,y,n,n,n,n,y,y
kata/,n,n,y,n,y,n,n,n,n
a)/xri,n,n,n,n,y,n,n,n,n
para/,n,n,y,y,y,n,n,n,n
kuklo/qen,n,n,n,n,y,n,n,n,n
ku/klw|,n,n,n,n,y,n,n,n,n
u(poka/tw,n,n,n,n,y,n,n,n,n
e)pa/nw,n,n,n,n,y,n,n,n,n
u(po/,n,n,y,n,y,n,n,n,n
e(/ws,n,n,n,n,y,n,n,y,n
a)na/,n,n,y,n,n,n,n,n,n
e)/cwqen,n,n,n,n,y,n,n,n,n
peri/,n,n,y,n,y,n,n,n,n
e)/mprosqen,n,n,n,n,y,n,n,n,n
e)nanti/on,n,n,n,n,y,n,n,n,n
e)/nanti,n,n,n,n,y,n,n,n,n
a)nti/,n,n,n,n,y,n,n,n,n
su/n,n,n,n,y,n,n,n,n,n
pro/,n,n,n,n,y,n,n,n,n
ei(/neken,n,n,n,n,y,n,n,n,n
e)/cw,n,n,n,n,y,n,n,n,n
e(/neka,n,n,n,n,y,n,n,n,n
u(pe/r,n,n,y,n,y,n,n,n,n
xwri/s,n,n,n,n,y,n,n,n,n
xa/rin,n,n,n,n,y,n,?postpos,n,n
a)ntipe/ra,n,n,n,n,n,n,y,n,n
e(/neken,n,n,n,n,y,n,n,n,n
metacu/,n,n,n,n,y,n,n,n,n
me/xri(s),n,n,n,n,y,n,n,n,n
e)nto/s,n,n,n,n,y,n,n,n,n
e)ggu/s,y,n,n,n,y,n,n,n,n
a)/ter,n,n,n,n,y,n,n,n,n
o)/pisqen,n,n,n,n,y,n,n,n,n
e)kto/s,n,n,n,n,y,n,n,n,n
pe/ran,n,n,n,n,y,n,n,n,n
w(s,n,y,y,n,n,n,n,n,n
plhsi/on,n,n,n,n,y,n,n,n,n
a)pe/nanti,n,n,n,n,y,n,n,n,n
kate/nanti,n,n,n,n,y,n,n,n,n
e)pe/keina,n,n,n,n,y,n,n,n,n
plh/n,n,n,n,n,y,n,n,n,n
a)/ntikrus,n,n,n,n,y,n,n,n,n
parekto/s,n,n,n,n,y,n,n,n,n
e)/sw,n,n,n,n,y,n,n,n,n
a)/xris,n,n,n,n,y,n,n,n,n
katenw/pion,n,n,n,n,y,n,n,n,n
u(pera/nw,n,n,n,n,y,n,n,n,n
a)/neu,n,n,n,n,y,n,n,n,n
a(/ma,n,n,n,y,n,n,n,n,n
o)ye/,n,n,n,n,n,n,n,n,n
u(pere/keina,n,n,n,n,y,n,n,n,n
